         838397 function calls (835668 primitive calls) in 1.256 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.256    1.256 /home/drribeiro/PycharmProjects/CrawlerReport/requests_example/GetterESAJ826ByName.py:15(run)
        4    0.000    0.000    0.644    0.161 /usr/local/lib/python3.6/dist-packages/requests/api.py:61(get)
        4    0.000    0.000    0.643    0.161 /usr/local/lib/python3.6/dist-packages/requests/api.py:16(request)
        4    0.000    0.000    0.640    0.160 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:441(request)
      5/4    0.000    0.000    0.632    0.158 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:589(send)
       88    0.001    0.000    0.538    0.006 /usr/lib/python3.6/socket.py:572(readinto)
       88    0.536    0.006    0.536    0.006 {method 'recv_into' of '_socket.socket' objects}
        4    0.000    0.000    0.389    0.097 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:86(__init__)
        4    0.000    0.000    0.387    0.097 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:338(_feed)
        4    0.060    0.015    0.387    0.097 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:283(feed)
        5    0.000    0.000    0.355    0.071 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:388(send)
        5    0.000    0.000    0.346    0.069 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:446(urlopen)
        5    0.000    0.000    0.343    0.069 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:321(_make_request)
       78    0.000    0.000    0.328    0.004 {method 'readline' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.289    0.058 /usr/lib/python3.6/http/client.py:1287(getresponse)
        5    0.000    0.000    0.289    0.058 /usr/lib/python3.6/http/client.py:290(begin)
        5    0.000    0.000    0.284    0.057 /usr/lib/python3.6/http/client.py:257(_read_status)
       26    0.000    0.000    0.269    0.010 /usr/local/lib/python3.6/dist-packages/requests/models.py:810(content)
    72/41    0.001    0.000    0.269    0.007 {method 'join' of 'bytes' objects}
       19    0.000    0.000    0.268    0.014 /usr/local/lib/python3.6/dist-packages/requests/models.py:741(generate)
       19    0.000    0.000    0.268    0.014 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:415(stream)
       18    0.001    0.000    0.268    0.015 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:567(read_chunked)
       15    0.000    0.000    0.219    0.015 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1306(find_all)
       15    0.018    0.001    0.218    0.015 /usr/local/lib/python3.6/dist-packages/bs4/element.py:592(_find_all)
       18    0.000    0.000    0.213    0.012 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:545(_handle_chunk)
       31    0.001    0.000    0.212    0.007 /usr/lib/python3.6/http/client.py:596(_safe_read)
       31    0.001    0.000    0.212    0.007 {method 'read' of '_io.BufferedReader' objects}
     5412    0.037    0.000    0.205    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:176(start)
    29027    0.028    0.000    0.185    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1502(search)
       12    0.000    0.000    0.166    0.014 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1295(find)
        4    0.000    0.000    0.162    0.040 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:640(<listcomp>)
      7/5    0.000    0.000    0.161    0.032 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:119(resolve_redirects)
