         28632 function calls (28374 primitive calls) in 11.522 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.706    9.706 /home/drribeiro/PycharmProjects/CrawlerReport/selenium_example/GetterESAJ826ByName.py:17(run)
       60    0.001    0.000    6.509    0.108 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:292(execute)
       60    0.001    0.000    6.506    0.108 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:447(execute)
       60    0.003    0.000    6.500    0.108 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:468(_request)
       60    0.001    0.000    6.459    0.108 /usr/lib/python3.6/http/client.py:1287(getresponse)
       60    0.002    0.000    6.455    0.108 /usr/lib/python3.6/http/client.py:290(begin)
       60    0.002    0.000    6.434    0.107 /usr/lib/python3.6/http/client.py:257(_read_status)
      240    0.001    0.000    6.433    0.027 {method 'readline' of '_io.BufferedReader' objects}
       74    0.000    0.000    6.431    0.087 /usr/lib/python3.6/socket.py:572(readinto)
       74    6.431    0.087    6.431    0.087 {method 'recv_into' of '_socket.socket' objects}
        5    5.006    1.001    5.006    1.001 {built-in method time.sleep}
       24    0.000    0.000    2.675    0.111 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:615(_execute)
        4    0.000    0.000    2.402    0.600 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:320(get)
        1    0.000    0.000    1.816    1.816 /home/drribeiro/PycharmProjects/CrawlerReport/selenium_example/GetterESAJ826ByName.py:12(__init__)
        1    0.000    0.000    1.816    1.816 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/chrome/webdriver.py:33(__init__)
       16    0.000    0.000    1.680    0.105 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:78(click)
        1    0.000    0.000    1.005    1.005 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/service.py:61(start)
        4    0.000    0.000    0.872    0.218 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:447(send_keys)
        1    0.000    0.000    0.809    0.809 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:112(__init__)
        1    0.000    0.000    0.809    0.809 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:222(start_session)
       24    0.000    0.000    0.500    0.021 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:932(find_element)
        4    0.000    0.000    0.235    0.059 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:471(find_element_by_name)
        8    0.000    0.000    0.138    0.017 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:369(find_element_by_xpath)
       12    0.000    0.000    0.127    0.011 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:336(find_element_by_id)
        7    0.000    0.000    0.125    0.018 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:662(page_source)
        4    0.000    0.000    0.123    0.031 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:93(clear)
       60    0.001    0.000    0.019    0.000 /usr/lib/python3.6/http/client.py:194(parse_headers)
       60    0.000    0.000    0.017    0.000 /usr/lib/python3.6/http/client.py:1236(request)
       60    0.002    0.000    0.017    0.000 /usr/lib/python3.6/http/client.py:1241(_send_request)
       60    0.001    0.000    0.016    0.000 /usr/lib/python3.6/email/parser.py:60(parsestr)
       60    0.001    0.000    0.016    0.000 /usr/lib/python3.6/email/parser.py:42(parse)
       60    0.000    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/utils.py:37(load_json)
       60    0.000    0.000    0.010    0.000 /usr/lib/python3.6/email/feedparser.py:173(feed)
       60    0.000    0.000    0.010    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
       60    0.000    0.000    0.010    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
      120    0.000    0.000    0.010    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
      120    0.002    0.000    0.009    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
       60    0.009    0.000    0.009    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
       60    0.000    0.000    0.006    0.000 /usr/lib/python3.6/http/client.py:1223(endheaders)
       60    0.001    0.000    0.006    0.000 /usr/lib/python3.6/http/client.py:1017(_send_output)
      413    0.003    0.000    0.006    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
      113    0.000    0.000    0.005    0.000 /usr/lib/python3.6/http/client.py:956(send)
       60    0.002    0.000    0.005    0.000 /usr/lib/python3.6/http/client.py:1071(putrequest)
      113    0.004    0.000    0.004    0.000 {method 'sendall' of '_socket.socket' objects}
      240    0.001    0.000    0.004    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
       61    0.001    0.000    0.003    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
       60    0.001    0.000    0.003    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
       60    0.000    0.000    0.003    0.000 /usr/lib/python3.6/email/feedparser.py:184(close)
       60    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/utils.py:33(dump_json)
       60    0.000    0.000    0.003    0.000 /usr/lib/python3.6/http/client.py:438(read)
      540    0.001    0.000    0.003    0.000 /usr/lib/python3.6/email/message.py:462(get)
      180    0.000    0.000    0.003    0.000 /usr/lib/python3.6/email/message.py:588(get_content_maintype)
       60    0.000    0.000    0.003    0.000 /usr/lib/python3.6/json/__init__.py:183(dumps)
       60    0.002    0.000    0.002    0.000 /usr/lib/python3.6/socket.py:218(makefile)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/chrome/remote_connection.py:23(__init__)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:194(__init__)
       60    0.000    0.000    0.002    0.000 /usr/lib/python3.6/json/encoder.py:182(encode)
        5    0.000    0.000    0.002    0.000 /usr/lib/python3.6/socket.py:688(create_connection)
       61    0.001    0.000    0.002    0.000 /usr/lib/python3.6/urllib/parse.py:394(urlsplit)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/subprocess.py:588(__init__)
        4    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/utils.py:97(is_connectable)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/subprocess.py:1208(_execute_child)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/string.py:105(substitute)
       60    0.002    0.000    0.002    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
      420    0.000    0.000    0.002    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
      120    0.000    0.000    0.002    0.000 /usr/lib/python3.6/http/client.py:713(getheader)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/email/feedparser.py:139(__init__)
      420    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.6/socket.py:728(getaddrinfo)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/service.py:114(is_connectable)
       60    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   271/60    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:258(_wrap_value)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:400(_close_conn)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:596(_safe_read)
     1588    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       60    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
      288    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        6    0.001    0.000    0.001    0.000 {built-in method _socket.getaddrinfo}
      300    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:497(get_all)
      120    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
     1288    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      360    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       60    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:165(get_remote_connection_headers)
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1286(debug)
        5    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
     1991    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      413    0.001    0.000    0.001    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
      240    0.001    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:29(_splitparam)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/socket.py:649(close)
      120    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:405(close)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:804(_get_content_length)
       60    0.000    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
