         4758053 function calls (4748771 primitive calls) in 10.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007   10.335   10.335 /home/drribeiro/PycharmProjects/CrawlerReport/requests_example/GetterESAJ826ByName.py:15(run)
       49    0.001    0.000    5.988    0.122 /usr/local/lib/python3.6/dist-packages/requests/api.py:61(get)
       49    0.001    0.000    5.987    0.122 /usr/local/lib/python3.6/dist-packages/requests/api.py:16(request)
       49    0.001    0.000    5.954    0.122 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:441(request)
    56/49    0.003    0.000    5.870    0.120 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:589(send)
       56    0.001    0.000    3.896    0.070 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:388(send)
      874    0.009    0.000    3.876    0.004 /usr/lib/python3.6/socket.py:572(readinto)
      874    3.857    0.004    3.857    0.004 {method 'recv_into' of '_socket.socket' objects}
       56    0.002    0.000    3.822    0.068 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:446(urlopen)
       56    0.002    0.000    3.798    0.068 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:321(_make_request)
       49    0.003    0.000    3.545    0.072 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:86(__init__)
       49    0.000    0.000    3.527    0.072 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:338(_feed)
       49    0.514    0.010    3.526    0.072 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:283(feed)
      897    0.004    0.000    2.577    0.003 {method 'readline' of '_io.BufferedReader' objects}
       56    0.001    0.000    2.164    0.039 /usr/lib/python3.6/http/client.py:1287(getresponse)
       56    0.002    0.000    2.161    0.039 /usr/lib/python3.6/http/client.py:290(begin)
       56    0.002    0.000    2.122    0.038 /usr/lib/python3.6/http/client.py:257(_read_status)
    48163    0.384    0.000    2.004    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:176(start)
      244    0.001    0.000    1.885    0.008 /usr/local/lib/python3.6/dist-packages/requests/models.py:810(content)
  804/455    0.003    0.000    1.884    0.004 {method 'join' of 'bytes' objects}
      208    0.001    0.000    1.881    0.009 /usr/local/lib/python3.6/dist-packages/requests/models.py:741(generate)
      208    0.001    0.000    1.880    0.009 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:415(stream)
      201    0.005    0.000    1.877    0.009 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:567(read_chunked)
       56    0.000    0.000    1.628    0.029 /usr/lib/python3.6/http/client.py:1236(request)
       56    0.001    0.000    1.628    0.029 /usr/lib/python3.6/http/client.py:1241(_send_request)
       56    0.000    0.000    1.622    0.029 /usr/lib/python3.6/http/client.py:1223(endheaders)
       56    0.000    0.000    1.621    0.029 /usr/lib/python3.6/http/client.py:1017(_send_output)
       56    0.000    0.000    1.621    0.029 /usr/lib/python3.6/http/client.py:956(send)
       49    0.000    0.000    1.619    0.033 /usr/local/lib/python3.6/dist-packages/urllib3/connection.py:165(connect)
       49    0.000    0.000    1.618    0.033 /usr/local/lib/python3.6/dist-packages/urllib3/connection.py:127(_new_conn)
       49    0.001    0.000    1.618    0.033 /usr/local/lib/python3.6/dist-packages/urllib3/util/connection.py:36(create_connection)
       49    1.407    0.029    1.407    0.029 {method 'connect' of '_socket.socket' objects}
    48163    0.143    0.000    1.402    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:512(handle_starttag)
      201    0.003    0.000    1.326    0.007 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:545(_handle_chunk)
      349    0.005    0.000    1.324    0.004 /usr/lib/python3.6/http/client.py:596(_safe_read)
      349    0.013    0.000    1.317    0.004 {method 'read' of '_io.BufferedReader' objects}
       49    0.000    0.000    1.062    0.022 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:640(<listcomp>)
    70/56    0.001    0.000    1.062    0.019 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:119(resolve_redirects)
   146200    0.297    0.000    1.055    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:391(endData)
    48163    0.126    0.000    0.833    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:231(end)
       93    0.001    0.000    0.786    0.008 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1306(find_all)
       93    0.063    0.001    0.785    0.008 /usr/local/lib/python3.6/dist-packages/bs4/element.py:592(_find_all)
   101989    0.102    0.000    0.661    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1502(search)
       83    0.000    0.000    0.608    0.007 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1295(find)
    48212    0.210    0.000    0.578    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:818(__init__)
    36987    0.086    0.000    0.495    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1461(search_tag)
    84930    0.180    0.000    0.464    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:421(object_was_parsed)
      250    0.003    0.000    0.459    0.002 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:531(_update_chunk_length)
909176/909175    0.194    0.000    0.356    0.000 {built-in method builtins.isinstance}
45887/37355    0.083    0.000    0.294    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1528(_matches)
    84930    0.113    0.000    0.284    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:709(__new__)
    48163    0.050    0.000    0.260    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:539(handle_endtag)
   218072    0.258    0.000    0.258    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:258(setup)
    43349    0.175    0.000    0.253    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/__init__.py:158(_replace_cdata_list_attribute_values)
       49    0.001    0.000    0.209    0.004 /usr/lib/python3.6/socket.py:728(getaddrinfo)
       49    0.207    0.004    0.207    0.004 {built-in method _socket.getaddrinfo}
    48163    0.125    0.000    0.198    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:489(_popToTag)
   103167    0.098    0.000    0.162    0.000 /usr/lib/python3.6/abc.py:180(__instancecheck__)
    45294    0.127    0.000    0.139    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:449(_linkage_fixer)
    90527    0.063    0.000    0.122    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:252(data)
    76921    0.108    0.000    0.108    0.000 {method 'items' of 'dict' objects}
    41608    0.029    0.000    0.092    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1425(_normalize_search_value)
    48212    0.070    0.000    0.087    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:382(pushTag)
      126    0.001    0.000    0.081    0.001 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:119(extract_cookies_to_jar)
      126    0.003    0.000    0.074    0.001 /usr/lib/python3.6/http/cookiejar.py:1657(extract_cookies)
      201    0.001    0.000    0.074    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:260(_decode)
      250    0.001    0.000    0.072    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:63(decompress)
      201    0.071    0.000    0.071    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      119    0.008    0.000    0.071    0.001 /usr/lib/python3.6/urllib/request.py:2458(getproxies_environment)
       56    0.000    0.000    0.066    0.001 /usr/local/lib/python3.6/dist-packages/requests/utils.py:686(get_environ_proxies)
246478/246427    0.064    0.000    0.064    0.000 {built-in method builtins.len}
    14112    0.013    0.000    0.064    0.000 /usr/lib/python3.6/_collections_abc.py:742(__iter__)
    48163    0.049    0.000    0.064    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:373(popTag)
   205468    0.062    0.000    0.062    0.000 /usr/lib/python3.6/_weakrefset.py:70(__contains__)
   191126    0.061    0.000    0.061    0.000 {built-in method builtins.hasattr}
    91337    0.042    0.000    0.060    0.000 /usr/local/lib/python3.6/dist-packages/bs4/__init__.py:544(handle_data)
   102307    0.026    0.000    0.057    0.000 {built-in method builtins.next}
   171259    0.057    0.000    0.057    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:107(_getNsTag)
    86555    0.055    0.000    0.055    0.000 {built-in method __new__ of type object at 0x9cff80}
       56    0.001    0.000    0.054    0.001 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:253(build_response)
   278867    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
       49    0.000    0.000    0.049    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:662(merge_environment_settings)
       63    0.001    0.000    0.045    0.001 /usr/local/lib/python3.6/dist-packages/requests/utils.py:629(should_bypass_proxies)
       63    0.000    0.000    0.041    0.001 /usr/lib/python3.6/urllib/request.py:2489(proxy_bypass_environment)
    13321    0.014    0.000    0.037    0.000 /usr/lib/python3.6/os.py:664(__getitem__)
   119845    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
       56    0.003    0.000    0.034    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
      126    0.002    0.000    0.034    0.000 /usr/lib/python3.6/http/cookiejar.py:1577(make_cookies)
       49    0.001    0.000    0.034    0.001 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:401(prepare_request)
      210    0.003    0.000    0.033    0.000 /usr/lib/python3.6/http/cookiejar.py:936(set_ok)
      810    0.003    0.000    0.031    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:260(comment)
       56    0.001    0.000    0.029    0.001 /usr/lib/python3.6/email/parser.py:60(parsestr)
       56    0.001    0.000    0.028    0.001 /usr/lib/python3.6/email/parser.py:42(parse)
        7    0.000    0.000    0.028    0.004 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:251(rebuild_proxies)
    48212    0.028    0.000    0.028    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/__init__.py:114(can_be_empty_element)
   103599    0.026    0.000    0.027    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1331(descendants)
     1225    0.007    0.000    0.024    0.000 /usr/lib/python3.6/urllib/parse.py:361(urlparse)
       49    0.000    0.000    0.024    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:398(__exit__)
       49    0.001    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:705(close)
       98    0.001    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:313(close)
    48212    0.019    0.000    0.022    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/__init__.py:279(set_up_substitutions)
      210    0.001    0.000    0.022    0.000 /usr/lib/python3.6/http/cookiejar.py:1556(_cookies_from_attrs_set)
       98    0.000    0.000    0.022    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:197(clear)
       56    0.000    0.000    0.022    0.000 /usr/lib/python3.6/email/feedparser.py:173(feed)
    28521    0.014    0.000    0.021    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:994(get)
       98    0.002    0.000    0.021    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:86(clear)
      112    0.000    0.000    0.020    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
      112    0.003    0.000    0.020    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
       49    0.000    0.000    0.019    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:299(prepare)
      210    0.003    0.000    0.019    0.000 /usr/lib/python3.6/http/cookiejar.py:1464(_cookie_from_cookie_tuple)
    64951    0.019    0.000    0.019    0.000 {method 'lower' of 'str' objects}
     8739    0.019    0.000    0.019    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       49    0.000    0.000    0.019    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:155(<lambda>)
      224    0.001    0.000    0.018    0.000 /usr/lib/python3.6/http/cookiejar.py:715(is_third_party)
       49    0.002    0.000    0.018    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:409(close)
90944/90900    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
      210    0.001    0.000    0.018    0.000 /usr/lib/python3.6/http/cookiejar.py:970(set_ok_verifiability)
    43857    0.018    0.000    0.018    0.000 {method 'keys' of 'dict' objects}
      455    0.003    0.000    0.017    0.000 /usr/lib/python3.6/http/cookiejar.py:609(request_host)
    25928    0.008    0.000    0.016    0.000 /usr/lib/python3.6/os.py:746(decode)
    48821    0.016    0.000    0.016    0.000 {method 'pop' of 'list' objects}
    13321    0.008    0.000    0.015    0.000 /usr/lib/python3.6/os.py:742(encode)
       56    0.000    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:290(get_connection)
       56    0.002    0.000    0.014    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:441(from_httplib)
