         409477 function calls (406448 primitive calls) in 99.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006   97.918   97.918 /home/drribeiro/PycharmProjects/CrawlerReport/selenium_example/GetterESAJ826ByName.py:17(run)
       50   50.054    1.001   50.054    1.001 {built-in method time.sleep}
      892    0.009    0.000   49.281    0.055 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:292(execute)
      892    0.014    0.000   49.253    0.055 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:447(execute)
      892    0.029    0.000   49.193    0.055 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:468(_request)
      892    0.008    0.000   48.713    0.055 /usr/lib/python3.6/http/client.py:1287(getresponse)
      892    0.017    0.000   48.675    0.055 /usr/lib/python3.6/http/client.py:290(begin)
      892    0.020    0.000   48.435    0.054 /usr/lib/python3.6/http/client.py:257(_read_status)
     3568    0.016    0.000   48.418    0.014 {method 'readline' of '_io.BufferedReader' objects}
     1086    0.006    0.000   48.406    0.045 /usr/lib/python3.6/socket.py:572(readinto)
     1086   48.397    0.045   48.397    0.045 {method 'recv_into' of '_socket.socket' objects}
      397    0.001    0.000   31.000    0.078 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:615(_execute)
      198    0.001    0.000   20.300    0.103 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:78(click)
       49    0.000    0.000   10.428    0.213 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:320(get)
       49    0.000    0.000    7.018    0.143 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:447(send_keys)
      326    0.002    0.000    5.329    0.016 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:932(find_element)
       93    0.000    0.000    2.165    0.023 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:73(text)
       49    0.001    0.000    2.120    0.043 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:471(find_element_by_name)
        8    0.000    0.000    2.059    0.257 /home/drribeiro/PycharmProjects/CrawlerReport/selenium_example/GetterESAJ826ByName.py:50(<listcomp>)
       97    0.000    0.000    1.634    0.017 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:662(page_source)
      104    0.000    0.000    1.551    0.015 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:369(find_element_by_xpath)
      163    0.000    0.000    1.526    0.009 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:336(find_element_by_id)
        1    0.000    0.000    1.442    1.442 /home/drribeiro/PycharmProjects/CrawlerReport/selenium_example/GetterESAJ826ByName.py:12(__init__)
        1    0.000    0.000    1.442    1.442 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/chrome/webdriver.py:33(__init__)
       49    0.000    0.000    1.408    0.029 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:93(clear)
        1    0.000    0.000    1.005    1.005 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/service.py:61(start)
       22    0.000    0.000    0.460    0.021 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:957(find_elements)
        1    0.000    0.000    0.435    0.435 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:112(__init__)
        1    0.000    0.000    0.435    0.435 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:222(start_session)
        8    0.000    0.000    0.307    0.038 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:421(find_elements_by_link_text)
      892    0.016    0.000    0.211    0.000 /usr/lib/python3.6/http/client.py:194(parse_headers)
      892    0.008    0.000    0.182    0.000 /usr/lib/python3.6/email/parser.py:60(parsestr)
      892    0.002    0.000    0.182    0.000 /usr/lib/python3.6/http/client.py:1236(request)
      892    0.018    0.000    0.180    0.000 /usr/lib/python3.6/http/client.py:1241(_send_request)
      892    0.006    0.000    0.175    0.000 /usr/lib/python3.6/email/parser.py:42(parse)
       14    0.000    0.000    0.152    0.011 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:387(find_elements_by_xpath)
      892    0.003    0.000    0.145    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/utils.py:37(load_json)
      892    0.003    0.000    0.142    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
      892    0.004    0.000    0.139    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
      892    0.130    0.000    0.130    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
      892    0.002    0.000    0.117    0.000 /usr/lib/python3.6/email/feedparser.py:173(feed)
        8    0.000    0.000    0.110    0.014 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:353(find_elements_by_xpath)
        8    0.000    0.000    0.110    0.014 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webelement.py:655(find_elements)
     1784    0.004    0.000    0.108    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
     1784    0.017    0.000    0.104    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
        8    0.000    0.000    0.081    0.010 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/support/wait.py:62(until)
        8    0.000    0.000    0.081    0.010 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/support/expected_conditions.py:62(__call__)
        8    0.000    0.000    0.081    0.010 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/support/expected_conditions.py:393(_find_element)
      892    0.002    0.000    0.068    0.000 /usr/lib/python3.6/http/client.py:1223(endheaders)
      892    0.008    0.000    0.065    0.000 /usr/lib/python3.6/http/client.py:1017(_send_output)
     6054    0.033    0.000    0.061    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
     1594    0.004    0.000    0.055    0.000 /usr/lib/python3.6/http/client.py:956(send)
        2    0.000    0.000    0.053    0.027 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:403(find_element_by_link_text)
     1594    0.048    0.000    0.048    0.000 {method 'sendall' of '_socket.socket' objects}
      892    0.016    0.000    0.047    0.000 /usr/lib/python3.6/http/client.py:1071(putrequest)
     3568    0.010    0.000    0.044    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
     8028    0.013    0.000    0.033    0.000 /usr/lib/python3.6/email/message.py:462(get)
      892    0.003    0.000    0.032    0.000 /usr/lib/python3.6/email/feedparser.py:184(close)
