         1502840 function calls (1498301 primitive calls) in 2.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    2.756    2.756 C:\Users\duanr\crawlerreport\requests_example\GetterESAJ826ByName.py:14(run)
        9    0.000    0.000    1.514    0.168 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\api.py:63(get)
        9    0.000    0.000    1.514    0.168 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\api.py:16(request)
        9    0.000    0.000    1.506    0.167 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:466(request)
     11/9    0.001    0.000    1.490    0.166 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:617(send)
       58    0.001    0.000    1.058    0.018 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\socket.py:575(readinto)
       58    1.057    0.018    1.057    0.018 {method 'recv_into' of '_socket.socket' objects}
       11    0.000    0.000    1.003    0.091 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\adapters.py:394(send)
       11    0.001    0.000    0.973    0.088 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\connectionpool.py:446(urlopen)
       11    0.001    0.000    0.965    0.088 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\connectionpool.py:319(_make_request)
        9    0.001    0.000    0.901    0.100 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:86(__init__)
        9    0.000    0.000    0.898    0.100 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:338(_feed)
        9    0.130    0.014    0.897    0.100 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:283(feed)
      172    0.001    0.000    0.727    0.004 {method 'readline' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.683    0.062 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:1277(getresponse)
       11    0.001    0.000    0.681    0.062 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:289(begin)
       11    0.001    0.000    0.664    0.060 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:256(_read_status)
        9    0.000    0.000    0.504    0.056 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:668(<listcomp>)
    15/11    0.001    0.000    0.504    0.046 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:143(resolve_redirects)
    10286    0.079    0.000    0.502    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:176(start)
       56    0.000    0.000    0.436    0.008 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:815(content)
   156/90    0.003    0.000    0.436    0.005 {method 'join' of 'bytes' objects}
       40    0.000    0.000    0.433    0.011 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:746(generate)
       40    0.000    0.000    0.433    0.011 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:475(stream)
       38    0.001    0.000    0.432    0.011 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:631(read_chunked)
    10286    0.036    0.000    0.390    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:512(handle_starttag)
       38    0.001    0.000    0.337    0.009 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:609(_handle_chunk)
       66    0.001    0.000    0.336    0.005 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:594(_safe_read)
       66    0.002    0.000    0.335    0.005 {method 'read' of '_io.BufferedReader' objects}
       31    0.000    0.000    0.332    0.011 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1306(find_all)
       31    0.032    0.001    0.331    0.011 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:592(_find_all)
    31204    0.081    0.000    0.292    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:391(endData)
       11    0.000    0.000    0.279    0.025 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:1226(request)
       11    0.000    0.000    0.279    0.025 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:1231(_send_request)
       11    0.000    0.000    0.277    0.025 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:1213(endheaders)
       11    0.000    0.000    0.277    0.025 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:1007(_send_output)
       11    0.000    0.000    0.277    0.025 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:948(send)
    54095    0.055    0.000    0.273    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1502(search)
       25    0.000    0.000    0.246    0.010 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1295(find)
    10286    0.033    0.000    0.220    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:231(end)
    19651    0.043    0.000    0.187    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1461(search_tag)
        9    0.000    0.000    0.179    0.020 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\connection.py:180(connect)
        9    0.000    0.000    0.178    0.020 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\connection.py:145(_new_conn)
        9    0.000    0.000    0.178    0.020 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\util\connection.py:33(create_connection)
        9    0.170    0.019    0.170    0.019 {method 'connect' of '_socket.socket' objects}
    10295    0.055    0.000    0.161    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:818(__init__)
    18209    0.048    0.000    0.137    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:421(object_was_parsed)
24149/19880    0.042    0.000    0.108    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1528(_matches)
   401579    0.074    0.000    0.104    0.000 {built-in method builtins.isinstance}
       11    0.099    0.009    0.099    0.009 {method 'sendall' of '_socket.socket' objects}
    46713    0.085    0.000    0.085    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:258(setup)
     9189    0.054    0.000    0.070    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\__init__.py:158(_replace_cdata_list_attribute_values)
    18209    0.028    0.000    0.070    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:709(__new__)
    10286    0.013    0.000    0.067    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:539(handle_endtag)
       47    0.001    0.000    0.064    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\response.py:595(_update_chunk_length)
    10286    0.033    0.000    0.052    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:489(_popToTag)
     9775    0.040    0.000    0.043    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\__init__.py:449(_linkage_fixer)
       26    0.001    0.000    0.041    0.002 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:118(extract_cookies_to_jar)
       26    0.002    0.000    0.038    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1667(extract_cookies)
    21325    0.017    0.000    0.033    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:252(data)
    21988    0.014    0.000    0.031    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1425(_normalize_search_value)
